user_id,checkin,atividade,post
601,2023-11-20,Caminhada,0
72,2023-01-17,Crossfit,0
247,2023-03-21,Caminhada,1
641,2024-08-19,Meditação,1
724,2024-03-31,Bike Indoor,1
940,2024-06-24,Crossfit,0
855,2024-10-07,Caminhada,0
608,2024-09-22,Caminhada,0
587,2024-01-13,Bike Indoor,0
935,2023-07-10,Meditação,1
566,2024-10-26,Crossfit,0
344,2024-05-05,Bike Indoor,0
971,2024-02-09,Caminhada,1
925,2023-09-29,Caminhada,0
54,2024-10-05,Bike Indoor,1
730,2024-03-05,Meditação,1
528,2024-06-03,Caminhada,0
611,2024-10-07,Meditação,0
532,2024-01-19,Meditação,0
558,2023-07-11,Caminhada,1
963,2024-08-25,Bike Indoor,1
193,2024-03-10,Crossfit,1
895,2023-03-04,Bike Indoor,1
58,2023-08-04,Crossfit,0
437,2023-05-14,Caminhada,0
111,2024-09-10,Meditação,0
129,2023-06-10,Bike Indoor,0
849,2023-09-15,Bike Indoor,0
706,2024-02-29,Bike Indoor,0
925,2024-06-11,Crossfit,0
852,2023-12-24,Bike Indoor,0
326,2024-01-10,Caminhada,0
8,2024-07-24,Bike Indoor,0
29,2023-01-09,Crossfit,0
112,2023-07-16,Corrida,0
947,2023-04-27,Bike Indoor,0
673,2023-01-10,Bike Indoor,0
131,2024-06-02,Bike Indoor,0
188,2023-12-15,Corrida,1
675,2024-02-08,Corrida,1
709,2024-09-26,Crossfit,0
475,2024-07-28,Bike Indoor,0
364,2023-01-04,Caminhada,0
204,2023-11-24,Crossfit,0
212,2024-05-26,Crossfit,1
621,2023-05-10,Crossfit,0
276,2024-08-09,Caminhada,1
73,2024-04-28,Bike Indoor,0
679,2023-12-24,Caminhada,0
772,2024-01-20,Crossfit,0
243,2023-09-11,Caminhada,0
787,2023-06-16,Bike Indoor,0
102,2024-11-10,Caminhada,0
987,2024-04-13,Caminhada,0
685,2024-05-07,Bike Indoor,0
171,2023-12-04,Caminhada,0
653,2023-02-20,Bike Indoor,0
909,2023-02-25,Corrida,1
188,2023-03-14,Corrida,1
441,2024-08-22,Caminhada,0
86,2023-02-21,Crossfit,1
476,2023-05-05,Meditação,0
52,2023-09-19,Corrida,1
111,2024-07-28,Crossfit,0
949,2024-07-01,Caminhada,0
877,2024-06-04,Meditação,0
854,2023-11-26,Meditação,0
43,2023-11-19,Crossfit,0
211,2023-08-29,Meditação,0
968,2023-10-12,Bike Indoor,0
200,2024-08-24,Bike Indoor,0
810,2023-09-21,Corrida,0
858,2023-10-26,Corrida,1
752,2023-07-24,Meditação,0
627,2023-10-18,Crossfit,1
26,2023-07-30,Crossfit,0
919,2024-01-01,Corrida,0
299,2024-04-08,Caminhada,0
77,2023-11-18,Meditação,1
924,2023-12-24,Meditação,0
137,2023-04-04,Meditação,0
20,2023-06-18,Caminhada,1
440,2023-10-24,Meditação,0
211,2024-05-30,Bike Indoor,0
752,2023-04-08,Meditação,0
551,2023-12-16,Bike Indoor,0
435,2024-08-01,Caminhada,1
780,2024-10-11,Corrida,0
207,2024-02-05,Corrida,0
991,2024-03-26,Bike Indoor,0
439,2024-04-19,Corrida,0
974,2024-02-23,Caminhada,0
779,2023-01-04,Crossfit,0
666,2023-11-20,Caminhada,0
42,2024-01-04,Meditação,1
411,2024-09-05,Meditação,0
523,2024-01-30,Bike Indoor,0
806,2024-07-09,Meditação,0
610,2023-04-29,Bike Indoor,0
427,2024-11-30,Meditação,1
275,2023-07-09,Corrida,1
448,2024-09-13,Bike Indoor,0
902,2024-02-20,Caminhada,0
942,2023-04-16,Meditação,1
884,2023-06-14,Crossfit,1
742,2024-09-29,Meditação,0
369,2023-12-12,Bike Indoor,1
938,2023-04-08,Bike Indoor,1
220,2024-04-30,Meditação,1
577,2023-11-27,Caminhada,0
867,2024-01-05,Meditação,0
232,2024-03-17,Caminhada,0
328,2023-04-30,Caminhada,0
443,2023-10-26,Caminhada,0
52,2023-05-23,Meditação,1
886,2024-10-03,Meditação,0
943,2024-09-07,Corrida,0
376,2023-04-03,Bike Indoor,1
263,2023-10-24,Crossfit,0
267,2024-03-22,Caminhada,1
359,2024-04-24,Caminhada,0
317,2023-09-15,Crossfit,0
324,2024-06-05,Bike Indoor,0
921,2024-11-13,Caminhada,0
908,2024-01-10,Meditação,0
666,2024-03-02,Bike Indoor,0
870,2023-04-11,Crossfit,0
878,2024-09-13,Caminhada,1
652,2023-09-01,Bike Indoor,0
939,2023-01-23,Crossfit,1
563,2023-12-20,Corrida,1
629,2024-04-10,Crossfit,0
421,2023-08-13,Caminhada,0
46,2024-03-19,Crossfit,0
821,2023-09-26,Crossfit,0
600,2024-06-16,Crossfit,0
720,2023-11-10,Crossfit,0
889,2023-04-30,Corrida,0
269,2024-04-25,Caminhada,0
601,2023-04-30,Caminhada,0
381,2023-05-16,Crossfit,1
118,2023-03-18,Caminhada,0
566,2023-12-20,Caminhada,1
953,2023-02-27,Meditação,0
116,2023-03-27,Crossfit,0
630,2023-01-01,Caminhada,0
260,2023-03-18,Bike Indoor,0
75,2024-06-05,Caminhada,0
480,2024-03-19,Caminhada,1
305,2024-08-03,Meditação,1
7,2023-05-28,Caminhada,1
366,2024-07-27,Crossfit,1
634,2024-06-08,Corrida,0
523,2023-07-05,Crossfit,0
348,2024-11-07,Caminhada,0
438,2024-06-05,Bike Indoor,0
215,2023-06-11,Caminhada,1
429,2023-10-17,Caminhada,1
791,2024-02-25,Bike Indoor,0
498,2023-07-15,Crossfit,0
540,2023-02-03,Caminhada,1
747,2024-11-02,Caminhada,0
367,2024-08-19,Corrida,0
313,2024-07-23,Meditação,0
538,2024-02-12,Corrida,1
921,2023-10-24,Corrida,0
54,2024-06-20,Bike Indoor,0
541,2023-02-05,Caminhada,0
467,2023-09-21,Crossfit,0
865,2024-01-17,Caminhada,0
164,2023-04-24,Caminhada,0
782,2024-09-08,Crossfit,0
334,2024-08-27,Meditação,0
547,2024-08-23,Caminhada,0
798,2024-03-18,Bike Indoor,0
348,2023-06-12,Crossfit,1
273,2023-02-07,Caminhada,0
963,2023-04-02,Caminhada,1
720,2024-09-22,Caminhada,0
750,2024-11-02,Meditação,0
414,2023-04-11,Crossfit,0
500,2024-05-21,Crossfit,0
93,2023-06-28,Bike Indoor,0
685,2023-10-11,Caminhada,1
79,2023-12-21,Caminhada,0
622,2023-10-24,Caminhada,1
217,2024-06-18,Caminhada,0
947,2024-05-02,Caminhada,1
358,2023-10-06,Meditação,0
618,2024-06-27,Caminhada,0
507,2024-10-11,Crossfit,0
559,2024-08-15,Crossfit,1
181,2023-12-21,Bike Indoor,0
576,2023-11-15,Caminhada,0
246,2023-07-14,Corrida,0
244,2023-04-03,Corrida,1
506,2024-03-08,Caminhada,0
422,2024-07-11,Crossfit,0
320,2023-01-27,Crossfit,1
87,2024-02-19,Bike Indoor,0
217,2023-06-11,Meditação,0
490,2023-04-11,Meditação,1
519,2024-11-29,Bike Indoor,0
278,2024-04-17,Meditação,0
849,2023-06-07,Corrida,0
722,2024-05-06,Crossfit,1
169,2023-01-09,Caminhada,0
330,2023-07-31,Bike Indoor,1
650,2024-03-14,Bike Indoor,0
441,2024-11-09,Caminhada,0
391,2023-04-21,Meditação,0
496,2023-07-22,Corrida,0
381,2023-03-06,Bike Indoor,0
306,2023-06-10,Caminhada,0
742,2024-02-18,Caminhada,1
987,2024-10-06,Bike Indoor,1
820,2024-11-20,Bike Indoor,0
673,2023-09-23,Meditação,0
513,2024-07-25,Bike Indoor,0
748,2023-07-24,Caminhada,0
949,2024-10-28,Caminhada,0
188,2024-08-06,Bike Indoor,0
930,2023-06-05,Caminhada,1
516,2023-06-22,Corrida,0
913,2023-11-04,Caminhada,0
644,2024-03-25,Bike Indoor,0
427,2023-03-03,Meditação,0
502,2024-01-08,Meditação,0
730,2024-04-04,Crossfit,0
260,2024-04-19,Meditação,0
513,2024-01-16,Crossfit,0
71,2024-07-25,Bike Indoor,0
478,2023-03-27,Bike Indoor,0
178,2023-05-23,Crossfit,0
457,2023-01-07,Bike Indoor,1
189,2023-10-22,Bike Indoor,0
291,2024-11-21,Crossfit,1
520,2024-06-02,Corrida,1
765,2024-10-13,Meditação,0
920,2024-06-09,Bike Indoor,0
979,2023-02-03,Caminhada,0
292,2023-11-25,Meditação,1
946,2024-08-31,Meditação,1
756,2024-09-29,Crossfit,0
635,2023-02-03,Bike Indoor,0
811,2024-02-10,Crossfit,0
283,2023-01-18,Caminhada,0
544,2024-03-05,Meditação,0
846,2024-03-03,Corrida,0
377,2023-10-20,Caminhada,0
658,2024-08-02,Caminhada,1
156,2023-03-21,Meditação,1
508,2023-03-27,Crossfit,1
413,2024-07-25,Meditação,1
528,2023-02-17,Meditação,1
355,2024-11-21,Bike Indoor,0
559,2023-03-25,Caminhada,0
763,2024-08-29,Crossfit,0
187,2023-11-04,Caminhada,0
31,2023-09-09,Meditação,0
260,2024-04-25,Bike Indoor,0
421,2023-06-29,Crossfit,0
529,2024-08-18,Crossfit,0
551,2023-11-06,Crossfit,0
304,2024-03-01,Meditação,0
942,2024-04-30,Caminhada,0
986,2024-10-23,Caminhada,0
944,2023-02-08,Corrida,0
39,2023-10-06,Corrida,0
489,2024-09-16,Corrida,0
644,2024-01-11,Caminhada,0
542,2024-09-30,Bike Indoor,0
670,2023-02-10,Bike Indoor,0
278,2024-10-31,Crossfit,0
203,2023-02-16,Bike Indoor,0
66,2024-04-28,Crossfit,0
108,2023-07-04,Meditação,1
268,2023-03-13,Caminhada,0
222,2024-07-22,Caminhada,0
804,2024-07-27,Caminhada,0
530,2023-12-08,Meditação,1
90,2024-07-22,Caminhada,1
693,2023-08-31,Meditação,0
255,2023-11-24,Bike Indoor,0
455,2024-09-27,Corrida,0
253,2023-06-02,Crossfit,0
257,2023-09-12,Caminhada,0
383,2024-02-28,Caminhada,0
442,2023-08-20,Caminhada,0
858,2024-06-12,Corrida,0
599,2024-08-14,Bike Indoor,0
90,2024-05-10,Caminhada,0
749,2023-06-25,Crossfit,0
390,2024-07-04,Meditação,0
582,2023-05-23,Corrida,0
44,2023-01-17,Caminhada,0
712,2023-09-06,Meditação,0
664,2023-02-04,Bike Indoor,1
598,2023-05-26,Corrida,0
19,2023-06-14,Corrida,0
101,2023-04-21,Bike Indoor,1
914,2024-10-08,Caminhada,0
607,2023-03-15,Meditação,0
766,2024-10-29,Corrida,1
357,2023-12-20,Bike Indoor,1
542,2023-10-01,Crossfit,1
761,2023-10-06,Meditação,0
938,2024-10-21,Bike Indoor,0
33,2023-01-31,Meditação,0
970,2024-06-09,Crossfit,0
229,2024-06-18,Corrida,1
524,2024-05-24,Bike Indoor,0
630,2024-05-28,Meditação,1
862,2023-06-27,Meditação,1
155,2023-11-25,Caminhada,1
423,2024-07-24,Corrida,0
905,2024-11-18,Meditação,0
246,2023-06-21,Crossfit,1
405,2024-01-31,Crossfit,1
844,2024-08-17,Crossfit,1
759,2023-02-04,Corrida,1
541,2023-10-24,Bike Indoor,1
161,2024-04-13,Corrida,1
747,2024-05-09,Caminhada,0
702,2024-09-13,Bike Indoor,0
117,2023-08-23,Crossfit,0
271,2023-02-08,Caminhada,0
770,2023-08-07,Crossfit,0
692,2023-08-05,Crossfit,0
487,2024-11-05,Crossfit,0
885,2024-09-19,Meditação,0
172,2024-11-03,Bike Indoor,0
950,2024-08-23,Meditação,1
274,2024-02-24,Crossfit,1
259,2024-10-14,Meditação,1
135,2023-06-23,Bike Indoor,0
683,2023-04-23,Meditação,0
722,2023-06-23,Caminhada,0
748,2023-03-15,Caminhada,0
422,2024-09-28,Caminhada,0
421,2024-06-19,Bike Indoor,0
186,2023-02-01,Crossfit,0
929,2023-09-11,Caminhada,0
364,2024-05-11,Caminhada,0
955,2023-04-23,Meditação,0
607,2023-07-14,Crossfit,1
378,2024-06-11,Caminhada,0
523,2024-03-16,Caminhada,0
580,2024-05-03,Caminhada,0
891,2024-05-11,Meditação,0
722,2024-09-11,Caminhada,0
196,2023-01-24,Meditação,1
881,2023-10-17,Crossfit,0
98,2023-11-04,Bike Indoor,1
605,2023-10-31,Caminhada,0
984,2024-09-22,Bike Indoor,1
22,2024-11-23,Meditação,0
450,2023-02-07,Corrida,0
172,2024-01-21,Caminhada,0
383,2024-08-03,Crossfit,0
134,2023-03-23,Crossfit,0
426,2023-04-28,Caminhada,0
25,2023-02-19,Corrida,0
503,2024-10-30,Meditação,1
185,2023-03-15,Bike Indoor,0
85,2024-11-25,Caminhada,0
567,2023-04-16,Caminhada,0
763,2024-08-21,Bike Indoor,0
144,2023-11-22,Meditação,0
863,2024-11-14,Meditação,0
910,2023-12-22,Meditação,0
679,2024-04-12,Bike Indoor,0
412,2024-10-17,Meditação,0
224,2023-10-11,Caminhada,0
220,2023-07-04,Bike Indoor,1
179,2023-06-03,Meditação,0
631,2023-04-28,Meditação,0
433,2023-09-24,Caminhada,1
265,2024-01-20,Caminhada,0
954,2023-09-12,Caminhada,0
429,2023-08-29,Corrida,0
662,2023-06-20,Meditação,0
416,2024-09-08,Caminhada,0
453,2024-07-01,Caminhada,1
727,2024-07-31,Caminhada,0
197,2023-07-04,Bike Indoor,0
554,2024-10-28,Caminhada,0
53,2024-02-14,Meditação,1
480,2024-10-14,Meditação,1
443,2024-08-10,Crossfit,1
330,2023-05-26,Meditação,0
251,2023-02-07,Meditação,1
807,2024-05-04,Crossfit,1
890,2023-09-19,Meditação,1
783,2023-05-06,Crossfit,0
967,2024-08-26,Bike Indoor,1
925,2023-12-11,Meditação,1
123,2023-09-18,Bike Indoor,0
879,2024-03-18,Corrida,0
387,2023-04-18,Bike Indoor,0
339,2024-07-10,Corrida,0
778,2024-03-12,Caminhada,1
348,2024-05-28,Meditação,1
29,2023-03-31,Corrida,1
975,2023-08-03,Meditação,0
35,2024-09-18,Corrida,1
518,2023-11-15,Caminhada,0
396,2024-08-26,Corrida,0
623,2024-11-28,Meditação,0
294,2024-10-31,Caminhada,0
589,2023-02-26,Corrida,0
349,2024-07-12,Caminhada,0
147,2024-02-06,Caminhada,0
67,2023-08-10,Caminhada,0
904,2024-04-19,Bike Indoor,1
520,2023-04-18,Corrida,0
122,2023-06-29,Caminhada,0
340,2023-06-26,Meditação,0
175,2024-05-01,Caminhada,0
900,2024-02-18,Crossfit,1
691,2024-11-22,Caminhada,0
597,2023-02-06,Caminhada,0
451,2024-07-28,Caminhada,0
557,2023-09-25,Bike Indoor,0
136,2024-01-23,Corrida,0
855,2023-12-20,Bike Indoor,0
16,2023-09-27,Caminhada,0
333,2023-09-26,Bike Indoor,1
195,2024-03-17,Crossfit,0
496,2023-11-01,Caminhada,0
9,2023-09-03,Caminhada,1
828,2023-06-27,Caminhada,1
334,2023-03-08,Crossfit,0
333,2023-10-04,Bike Indoor,0
327,2023-07-27,Bike Indoor,0
15,2023-11-03,Caminhada,0
839,2024-07-03,Meditação,0
614,2024-09-22,Corrida,0
226,2024-06-21,Caminhada,0
425,2024-06-01,Corrida,0
790,2023-10-01,Bike Indoor,0
408,2023-08-21,Caminhada,0
113,2023-04-24,Meditação,1
997,2023-05-14,Corrida,0
428,2024-02-29,Meditação,0
1,2024-11-20,Corrida,0
266,2023-01-25,Caminhada,0
491,2024-07-13,Bike Indoor,0
208,2023-10-07,Crossfit,0
622,2023-12-09,Corrida,1
712,2023-03-13,Meditação,0
952,2023-07-20,Bike Indoor,0
369,2023-11-22,Caminhada,0
985,2023-02-02,Caminhada,0
306,2023-04-07,Caminhada,1
12,2024-07-10,Caminhada,0
345,2023-09-20,Caminhada,0
465,2023-03-11,Meditação,1
700,2023-10-20,Corrida,0
666,2023-07-26,Bike Indoor,0
494,2023-06-21,Meditação,0
368,2024-01-30,Corrida,0
846,2023-09-13,Caminhada,0
937,2023-09-21,Meditação,0
420,2023-09-21,Bike Indoor,1
889,2024-05-31,Caminhada,0
791,2023-01-10,Crossfit,1
171,2023-09-28,Caminhada,1
134,2023-11-08,Caminhada,1
965,2024-01-05,Caminhada,1
427,2024-07-20,Corrida,1
25,2024-07-06,Bike Indoor,0
530,2024-10-11,Bike Indoor,1
190,2024-01-26,Bike Indoor,1
141,2023-04-25,Caminhada,0
555,2024-07-28,Bike Indoor,0
846,2023-12-10,Meditação,0
796,2024-02-14,Caminhada,1
658,2024-06-29,Bike Indoor,0
315,2024-01-13,Caminhada,0
444,2024-03-31,Caminhada,0
319,2024-02-27,Crossfit,0
441,2024-03-19,Bike Indoor,0
92,2023-07-16,Bike Indoor,0
179,2023-12-29,Meditação,0
56,2024-02-14,Meditação,1
155,2024-07-27,Bike Indoor,0
672,2024-01-29,Crossfit,1
111,2024-05-23,Bike Indoor,0
137,2024-07-19,Corrida,0
232,2024-11-01,Corrida,0
992,2023-10-21,Meditação,0
468,2023-01-25,Crossfit,0
732,2023-08-25,Bike Indoor,0
481,2024-04-05,Bike Indoor,1
68,2023-11-17,Caminhada,0
814,2023-04-10,Bike Indoor,0
249,2024-11-20,Corrida,1
994,2024-02-12,Crossfit,0
323,2023-06-04,Crossfit,0
922,2024-03-09,Caminhada,0
904,2024-03-09,Meditação,0
518,2023-05-23,Caminhada,0
976,2024-06-12,Meditação,0
792,2023-10-12,Bike Indoor,0
432,2023-01-05,Meditação,1
487,2024-06-06,Bike Indoor,0
606,2024-03-11,Meditação,0
429,2024-02-22,Caminhada,1
269,2023-03-22,Caminhada,0
709,2024-06-28,Corrida,0
537,2024-01-12,Caminhada,0
148,2023-06-08,Caminhada,0
118,2024-09-18,Crossfit,1
850,2023-08-05,Corrida,0
367,2024-10-31,Crossfit,0
850,2023-02-14,Caminhada,1
66,2024-09-23,Caminhada,0
970,2023-08-03,Corrida,0
813,2024-05-25,Crossfit,0
370,2023-05-08,Bike Indoor,0
175,2023-09-11,Caminhada,0
831,2024-07-03,Caminhada,0
588,2023-12-18,Caminhada,1
495,2024-08-28,Bike Indoor,1
973,2024-06-24,Caminhada,0
114,2023-06-13,Corrida,0
111,2024-10-10,Caminhada,0
761,2024-06-18,Crossfit,0
439,2023-05-11,Caminhada,0
715,2024-08-20,Bike Indoor,0
147,2024-11-26,Caminhada,0
35,2024-05-18,Crossfit,0
999,2024-02-28,Bike Indoor,1
309,2023-07-03,Caminhada,0
538,2024-11-01,Crossfit,0
750,2024-06-06,Bike Indoor,1
14,2024-07-07,Corrida,0
374,2023-08-23,Corrida,0
557,2023-05-11,Corrida,0
428,2024-11-27,Caminhada,0
728,2023-01-14,Caminhada,0
233,2024-10-20,Corrida,1
705,2024-01-15,Meditação,0
563,2023-03-01,Caminhada,1
939,2023-10-19,Crossfit,0
887,2023-06-09,Caminhada,0
726,2024-03-22,Crossfit,0
663,2024-06-21,Crossfit,0
440,2024-07-30,Crossfit,0
502,2024-01-21,Caminhada,0
275,2023-03-11,Meditação,0
850,2024-01-17,Meditação,1
76,2024-11-15,Meditação,0
439,2023-08-13,Caminhada,0
732,2024-05-22,Meditação,1
860,2024-10-26,Bike Indoor,0
956,2023-02-09,Bike Indoor,0
699,2023-05-26,Crossfit,0
289,2024-01-01,Bike Indoor,0
915,2024-09-01,Caminhada,1
540,2023-09-05,Bike Indoor,1
891,2023-01-12,Crossfit,0
692,2024-06-19,Meditação,1
253,2024-05-24,Bike Indoor,0
126,2023-09-02,Caminhada,1
177,2023-06-20,Meditação,0
37,2023-02-01,Corrida,1
410,2024-09-17,Corrida,1
611,2024-03-04,Bike Indoor,0
610,2023-02-04,Crossfit,0
127,2023-07-24,Corrida,0
483,2024-01-19,Corrida,0
168,2023-09-23,Meditação,0
592,2024-07-30,Bike Indoor,0
294,2024-03-18,Meditação,0
845,2024-09-01,Caminhada,0
638,2024-11-27,Meditação,0
343,2024-04-29,Crossfit,0
310,2024-04-14,Crossfit,0
662,2023-09-23,Corrida,0
528,2023-04-19,Caminhada,0
540,2024-05-03,Bike Indoor,0
419,2023-06-27,Caminhada,1
444,2023-09-06,Caminhada,0
685,2023-01-05,Corrida,1
558,2023-06-06,Meditação,0
840,2023-08-18,Crossfit,0
236,2024-09-19,Caminhada,1
439,2023-09-18,Meditação,1
214,2023-11-17,Bike Indoor,0
85,2023-05-07,Caminhada,0
794,2023-01-28,Meditação,1
744,2024-05-24,Caminhada,0
85,2023-08-16,Bike Indoor,0
921,2024-10-02,Corrida,1
489,2024-06-24,Crossfit,0
65,2023-06-28,Corrida,1
646,2024-11-06,Crossfit,0
663,2024-11-02,Corrida,0
627,2023-10-15,Bike Indoor,0
64,2024-05-08,Bike Indoor,0
343,2023-09-22,Meditação,1
939,2024-04-11,Crossfit,0
875,2024-01-30,Caminhada,0
919,2024-03-07,Caminhada,0
352,2024-03-10,Corrida,0
158,2024-01-23,Caminhada,0
589,2024-06-20,Corrida,0
491,2023-05-25,Crossfit,0
658,2023-06-24,Meditação,0
855,2024-06-03,Bike Indoor,1
463,2023-11-10,Crossfit,1
225,2024-09-12,Caminhada,0
917,2023-05-09,Crossfit,0
313,2024-05-28,Crossfit,0
615,2023-01-10,Caminhada,1
919,2023-12-13,Caminhada,0
859,2023-04-27,Caminhada,0
813,2024-02-15,Caminhada,0
940,2024-02-01,Caminhada,0
466,2023-01-11,Crossfit,1
88,2024-02-02,Meditação,0
883,2024-08-30,Corrida,0
303,2023-04-03,Caminhada,0
680,2023-04-12,Meditação,0
435,2023-04-08,Bike Indoor,0
682,2023-10-09,Corrida,1
135,2024-10-29,Bike Indoor,1
50,2024-10-18,Meditação,0
432,2024-02-25,Corrida,1
340,2023-12-30,Meditação,1
347,2023-07-30,Caminhada,0
646,2024-10-28,Meditação,0
347,2024-05-22,Crossfit,0
649,2023-03-17,Caminhada,0
245,2023-11-19,Bike Indoor,1
109,2024-03-27,Bike Indoor,1
825,2024-11-17,Corrida,1
799,2024-09-14,Caminhada,0
533,2023-01-18,Caminhada,0
90,2023-10-18,Meditação,1
296,2023-07-17,Meditação,0
112,2023-06-11,Crossfit,0
813,2024-02-21,Bike Indoor,1
589,2024-01-19,Crossfit,0
177,2023-07-19,Crossfit,0
343,2024-05-12,Corrida,0
660,2023-02-12,Meditação,0
101,2023-03-23,Corrida,0
758,2024-06-22,Caminhada,1
629,2023-10-31,Crossfit,0
604,2024-08-03,Bike Indoor,1
401,2023-07-18,Crossfit,0
28,2024-02-10,Meditação,0
937,2024-03-02,Crossfit,0
962,2024-04-05,Corrida,0
537,2024-04-24,Crossfit,1
58,2023-05-04,Crossfit,1
498,2024-06-11,Caminhada,1
297,2024-09-29,Caminhada,0
134,2024-06-09,Corrida,0
331,2023-02-08,Bike Indoor,0
249,2023-07-18,Bike Indoor,1
550,2023-04-18,Meditação,0
902,2023-09-25,Caminhada,0
941,2023-12-19,Meditação,0
75,2023-11-07,Meditação,0
654,2024-01-25,Caminhada,0
834,2023-02-09,Caminhada,0
168,2024-08-03,Bike Indoor,1
771,2023-06-01,Bike Indoor,0
503,2023-07-06,Caminhada,0
885,2024-03-05,Bike Indoor,0
355,2024-04-01,Corrida,0
225,2023-08-15,Meditação,0
664,2024-03-03,Corrida,0
531,2023-07-23,Corrida,1
146,2023-04-28,Caminhada,0
960,2024-01-29,Caminhada,0
241,2023-08-10,Meditação,0
884,2023-03-04,Bike Indoor,0
893,2024-01-31,Meditação,0
344,2023-01-05,Meditação,0
749,2023-11-30,Bike Indoor,0
35,2023-10-19,Caminhada,0
702,2024-05-22,Corrida,0
1,2023-05-25,Caminhada,0
996,2024-10-23,Corrida,1
153,2023-06-08,Caminhada,0
429,2023-01-11,Caminhada,0
945,2023-03-10,Caminhada,1
508,2024-09-05,Corrida,0
126,2024-06-27,Caminhada,0
491,2023-07-21,Bike Indoor,1
482,2023-09-23,Corrida,1
345,2023-04-18,Bike Indoor,0
912,2023-02-23,Meditação,0
738,2023-12-04,Corrida,1
221,2023-07-09,Corrida,0
915,2023-08-27,Meditação,0
919,2023-12-09,Bike Indoor,0
723,2023-10-18,Corrida,0
25,2023-11-19,Corrida,0
528,2023-11-17,Meditação,0
182,2023-02-11,Crossfit,0
499,2023-07-17,Meditação,0
841,2024-09-24,Meditação,1
641,2023-10-11,Caminhada,1
42,2023-07-01,Caminhada,0
915,2024-09-03,Bike Indoor,0
481,2023-01-11,Bike Indoor,0
930,2024-03-17,Caminhada,0
848,2024-09-20,Meditação,1
748,2024-02-28,Meditação,0
872,2024-05-14,Corrida,0
439,2024-01-23,Corrida,0
402,2024-07-29,Meditação,0
546,2024-11-18,Corrida,0
345,2024-03-29,Meditação,0
893,2024-08-17,Bike Indoor,1
45,2023-01-02,Corrida,1
646,2023-08-30,Meditação,1
21,2023-03-01,Bike Indoor,0
634,2024-01-03,Caminhada,0
70,2023-02-09,Caminhada,1
864,2023-11-11,Bike Indoor,0
873,2024-07-10,Corrida,0
48,2023-10-25,Meditação,0
491,2024-09-22,Corrida,1
551,2024-10-04,Corrida,0
287,2024-03-25,Caminhada,0
10,2024-01-30,Meditação,1
542,2024-07-15,Bike Indoor,0
756,2023-03-29,Bike Indoor,1
274,2024-06-16,Caminhada,0
956,2024-01-23,Corrida,0
600,2024-01-16,Crossfit,0
756,2024-07-08,Meditação,0
381,2024-03-06,Bike Indoor,0
329,2024-06-18,Caminhada,0
479,2023-08-04,Meditação,0
15,2023-10-04,Corrida,1
516,2023-07-13,Corrida,1
191,2023-06-28,Meditação,1
168,2023-05-23,Bike Indoor,0
521,2024-06-21,Bike Indoor,0
621,2023-08-06,Meditação,0
137,2024-05-25,Caminhada,1
154,2023-02-28,Bike Indoor,1
388,2023-12-12,Bike Indoor,0
209,2024-07-10,Caminhada,1
