activity_id,user_id,steps,minutes_meditated,activity_type,date,calories_burned,gym_visit,week
45,950,19703,45,Crossfit,2023-02-08,986.16,True,6
46,190,18704,9,Caminhada,2023-06-11,273.29,False,23
47,983,18030,59,Corrida,2024-09-12,486.04,True,37
48,800,3909,50,Bike Indoor,2024-06-09,603.89,True,23
49,936,8015,56,Crossfit,2023-06-15,524.28,True,24
50,909,3420,47,Caminhada,2024-03-20,254.46,False,12
51,251,14885,8,Crossfit,2024-03-18,800.78,True,12
52,724,16740,19,Crossfit,2023-11-27,978.05,True,48
53,291,7485,47,Meditação,2023-12-01,48.4,False,48
54,645,19465,19,Meditação,2023-04-22,12.03,False,16
55,201,18664,58,Bike Indoor,2023-05-19,364.21,True,20
56,797,4131,39,Caminhada,2023-06-15,171.05,False,24
57,326,10652,6,Crossfit,2024-02-18,939.75,True,7
58,511,14379,10,Caminhada,2023-06-18,253.61,False,24
59,409,14903,20,Caminhada,2023-05-04,291.09,False,18
60,607,15913,37,Bike Indoor,2024-07-03,547.23,True,27
61,790,19171,46,Caminhada,2023-04-08,114.14,False,14
62,962,9470,18,Corrida,2023-03-01,410.04,True,9
63,941,16849,45,Corrida,2023-01-19,489.17,True,3
64,837,11540,14,Bike Indoor,2023-05-04,570.11,True,18
65,508,17871,5,Crossfit,2023-08-14,963.14,True,33
66,731,4597,55,Corrida,2024-09-03,528.36,True,36
67,601,4536,9,Caminhada,2023-11-20,268.93,False,47
68,72,16709,45,Crossfit,2023-01-17,697.45,True,3
69,247,9957,15,Caminhada,2023-03-21,127.07,False,12
70,641,4162,44,Meditação,2024-08-19,30.35,False,34
71,724,303,10,Bike Indoor,2024-03-31,476.91,True,13
72,940,5067,56,Crossfit,2024-06-24,956.9,True,26
73,855,5024,34,Caminhada,2024-10-07,167.06,False,41
74,608,7715,7,Caminhada,2024-09-22,119.33,False,38
75,587,11226,27,Bike Indoor,2024-01-13,637.03,True,2
76,935,2631,2,Meditação,2023-07-10,49.95,False,28
77,566,13412,1,Crossfit,2024-10-26,824.09,True,43
78,344,15037,52,Bike Indoor,2024-05-05,400.18,True,18
79,971,11647,13,Caminhada,2024-02-09,109.7,False,6
80,925,12569,51,Caminhada,2023-09-29,64.43,False,39
81,54,2369,28,Bike Indoor,2024-10-05,330.92,True,40
82,730,11659,52,Meditação,2024-03-05,46.6,False,10
83,528,528,53,Caminhada,2024-06-03,74.12,False,23
84,611,10502,46,Meditação,2024-10-07,29.37,False,41
85,532,4675,2,Meditação,2024-01-19,37.92,False,3
86,558,18047,0,Caminhada,2023-07-11,262.59,False,28
87,963,19748,14,Bike Indoor,2024-08-25,368.51,True,34
88,193,2341,19,Crossfit,2024-03-10,718.89,True,10
89,895,13919,21,Bike Indoor,2023-03-04,400.59,True,9
90,58,14730,33,Crossfit,2023-08-04,627.91,True,31
91,437,15256,49,Caminhada,2023-05-14,125.96,False,19
92,111,4905,32,Meditação,2024-09-10,33.48,False,37
93,129,15539,8,Bike Indoor,2023-06-10,306.63,True,23
94,849,15255,2,Bike Indoor,2023-09-15,463.51,True,37
95,706,8884,1,Bike Indoor,2024-02-29,374.73,True,9
96,925,9143,3,Crossfit,2024-06-11,983.56,True,24
97,852,5950,15,Bike Indoor,2023-12-24,533.09,True,51
98,326,1360,53,Caminhada,2024-01-10,267.02,False,2
99,8,5127,32,Bike Indoor,2024-07-24,378.28,True,30
100,29,14252,8,Crossfit,2023-01-09,905.01,True,2
101,112,8730,56,Corrida,2023-07-16,565.91,True,28
102,947,3925,39,Bike Indoor,2023-04-27,371.08,True,17
103,673,8463,37,Bike Indoor,2023-01-10,604.5,True,2
104,131,17412,51,Bike Indoor,2024-06-02,604.8,True,22
105,188,1242,17,Corrida,2023-12-15,798.36,True,50
106,675,8784,15,Corrida,2024-02-08,712.37,True,6
107,709,9797,7,Crossfit,2024-09-26,572.63,True,39
108,475,6406,22,Bike Indoor,2024-07-28,429.02,True,30
109,364,19761,59,Caminhada,2023-01-04,162.93,False,1
110,204,13965,35,Crossfit,2023-11-24,563.33,True,47
111,212,13733,2,Crossfit,2024-05-26,894.02,True,21
112,621,17824,14,Crossfit,2023-05-10,763.35,True,19
113,276,3626,37,Caminhada,2024-08-09,286.11,False,32
114,73,10074,32,Bike Indoor,2024-04-28,535.72,True,17
115,679,16568,17,Caminhada,2023-12-24,180.72,False,51
116,772,8031,22,Crossfit,2024-01-20,535.71,True,3
117,243,3188,42,Caminhada,2023-09-11,87.34,False,37
118,787,2945,2,Bike Indoor,2023-06-16,639.81,True,24
119,102,6765,29,Caminhada,2024-11-10,297.67,False,45
120,987,18858,44,Caminhada,2024-04-13,153.79,False,15
121,685,10807,16,Bike Indoor,2024-05-07,624.03,True,19
122,171,10204,49,Caminhada,2023-12-04,206.9,False,49
123,653,9352,57,Bike Indoor,2023-02-20,683.62,True,8
124,909,4599,57,Corrida,2023-02-25,495.25,True,8
125,188,4313,31,Corrida,2023-03-14,617.93,True,11
126,441,2218,45,Caminhada,2024-08-22,152.2,False,34
127,86,13786,56,Crossfit,2023-02-21,770.86,True,8
128,476,17536,6,Meditação,2023-05-05,20.75,False,18
129,52,56,38,Corrida,2023-09-19,599.1,True,38
130,111,12533,13,Crossfit,2024-07-28,812.4,True,30
131,949,143,57,Caminhada,2024-07-01,70.3,False,27
132,877,7218,55,Meditação,2024-06-04,39.72,False,23
133,854,8559,14,Meditação,2023-11-26,38.26,False,47
134,43,615,43,Crossfit,2023-11-19,940.23,True,46
135,211,8062,11,Meditação,2023-08-29,27.03,False,35
136,968,11520,7,Bike Indoor,2023-10-12,324.67,True,41
137,200,5977,15,Bike Indoor,2024-08-24,484.58,True,34
138,810,11419,40,Corrida,2023-09-21,455.04,True,38
139,858,9780,33,Corrida,2023-10-26,658.98,True,43
140,752,10681,45,Meditação,2023-07-24,11.89,False,30
141,627,6984,23,Crossfit,2023-10-18,687.0,True,42
142,26,4971,55,Crossfit,2023-07-30,541.42,True,30
143,919,944,28,Corrida,2024-01-01,401.35,True,1
144,299,9114,15,Caminhada,2024-04-08,290.14,False,15
145,77,7078,4,Meditação,2023-11-18,49.85,False,46
146,924,18130,4,Meditação,2023-12-24,32.22,False,51
147,137,12312,51,Meditação,2023-04-04,19.56,False,14
148,20,5783,29,Caminhada,2023-06-18,277.77,False,24
149,440,9751,52,Meditação,2023-10-24,46.92,False,43
150,211,6907,49,Bike Indoor,2024-05-30,641.8,True,22
151,752,19310,49,Meditação,2023-04-08,31.77,False,14
152,551,17473,4,Bike Indoor,2023-12-16,329.88,True,50
153,435,2957,42,Caminhada,2024-08-01,72.11,False,31
154,780,18996,12,Corrida,2024-10-11,758.65,True,41
155,207,6047,34,Corrida,2024-02-05,750.33,True,6
156,991,6249,48,Bike Indoor,2024-03-26,473.76,True,13
157,439,16347,24,Corrida,2024-04-19,531.26,True,16
158,974,3759,49,Caminhada,2024-02-23,211.03,False,8
159,779,4263,13,Crossfit,2023-01-04,903.49,True,1
160,666,10281,43,Caminhada,2023-11-20,232.92,False,47
161,42,1902,45,Meditação,2024-01-04,34.62,False,1
162,411,2567,25,Meditação,2024-09-05,19.26,False,36
163,523,10190,17,Bike Indoor,2024-01-30,405.0,True,5
164,806,8075,19,Meditação,2024-07-09,38.96,False,28
165,610,2994,33,Bike Indoor,2023-04-29,621.05,True,17
166,427,5229,6,Meditação,2024-11-30,14.65,False,48
167,275,2010,46,Corrida,2023-07-09,474.92,True,27
168,448,7377,59,Bike Indoor,2024-09-13,572.19,True,37
169,902,13036,9,Caminhada,2024-02-20,147.25,False,8
170,942,17214,14,Meditação,2023-04-16,32.53,False,15
171,884,48,16,Crossfit,2023-06-14,807.41,True,24
172,742,4210,10,Meditação,2024-09-29,41.05,False,39
173,369,17562,33,Bike Indoor,2023-12-12,622.29,True,50
174,938,14838,26,Bike Indoor,2023-04-08,412.04,True,14
175,220,16038,20,Meditação,2024-04-30,31.65,False,18
176,577,7878,30,Caminhada,2023-11-27,80.88,False,48
177,867,16454,49,Meditação,2024-01-05,43.68,False,1
178,232,15347,56,Caminhada,2024-03-17,261.36,False,11
179,328,7879,3,Caminhada,2023-04-30,124.88,False,17
180,443,18161,40,Caminhada,2023-10-26,90.16,False,43
181,52,13254,58,Meditação,2023-05-23,12.8,False,21
182,886,7380,59,Meditação,2024-10-03,33.0,False,40
183,943,2228,48,Corrida,2024-09-07,436.57,True,36
184,376,9814,16,Bike Indoor,2023-04-03,572.24,True,14
185,263,8888,48,Crossfit,2023-10-24,839.06,True,43
186,267,6391,47,Caminhada,2024-03-22,203.5,False,12
187,359,9429,19,Caminhada,2024-04-24,269.14,False,17
188,317,18790,24,Crossfit,2023-09-15,689.14,True,37
189,324,637,39,Bike Indoor,2024-06-05,660.91,True,23
190,921,17333,22,Caminhada,2024-11-13,59.23,False,46
191,908,10096,14,Meditação,2024-01-10,14.51,False,2
192,666,3587,32,Bike Indoor,2024-03-02,464.88,True,9
193,870,1111,18,Crossfit,2023-04-11,797.0,True,15
194,878,8367,56,Caminhada,2024-09-13,58.09,False,37
195,652,722,14,Bike Indoor,2023-09-01,526.97,True,35
196,939,4866,40,Crossfit,2023-01-23,653.7,True,4
197,563,10139,4,Corrida,2023-12-20,754.86,True,51
198,629,17086,15,Crossfit,2024-04-10,766.64,True,15
199,421,2128,59,Caminhada,2023-08-13,196.97,False,32
200,46,9118,44,Crossfit,2024-03-19,972.81,True,12
201,821,2517,47,Crossfit,2023-09-26,882.09,True,39
202,600,17533,31,Crossfit,2024-06-16,719.14,True,24
203,720,14228,21,Crossfit,2023-11-10,738.44,True,45
204,889,14179,42,Corrida,2023-04-30,659.17,True,17
205,269,18262,31,Caminhada,2024-04-25,100.05,False,17
206,601,9675,12,Caminhada,2023-04-30,72.16,False,17
207,381,309,37,Crossfit,2023-05-16,655.62,True,20
208,118,3952,25,Caminhada,2023-03-18,244.6,False,11
209,566,19433,51,Caminhada,2023-12-20,114.33,False,51
210,953,13871,16,Meditação,2023-02-27,15.23,False,9
211,116,9692,4,Crossfit,2023-03-27,609.51,True,13
212,630,15,48,Caminhada,2023-01-01,219.74,False,52
213,260,16989,32,Bike Indoor,2023-03-18,545.58,True,11
214,75,16005,26,Caminhada,2024-06-05,222.08,False,23
215,480,14278,4,Caminhada,2024-03-19,130.49,False,12
216,305,14817,36,Meditação,2024-08-03,46.03,False,31
217,7,9759,6,Caminhada,2023-05-28,162.94,False,21
218,366,15664,47,Crossfit,2024-07-27,756.86,True,30
219,634,6412,17,Corrida,2024-06-08,779.52,True,23
220,523,10196,30,Crossfit,2023-07-05,989.64,True,27
221,348,8507,5,Caminhada,2024-11-07,215.39,False,45
222,438,4820,1,Bike Indoor,2024-06-05,677.93,True,23
223,215,7835,12,Caminhada,2023-06-11,185.38,False,23
224,429,1849,41,Caminhada,2023-10-17,126.82,False,42
225,791,13587,52,Bike Indoor,2024-02-25,426.04,True,8
226,498,1953,51,Crossfit,2023-07-15,779.47,True,28
227,540,19153,10,Caminhada,2023-02-03,201.26,False,5
228,747,12731,25,Caminhada,2024-11-02,159.9,False,44
229,367,19430,20,Corrida,2024-08-19,753.51,True,34
230,313,6840,1,Meditação,2024-07-23,27.07,False,30
231,538,5066,39,Corrida,2024-02-12,509.37,True,7
232,921,2415,55,Corrida,2023-10-24,403.19,True,43
233,54,2389,53,Bike Indoor,2024-06-20,688.23,True,25
234,541,16211,50,Caminhada,2023-02-05,256.08,False,5
235,467,763,19,Crossfit,2023-09-21,807.78,True,38
236,865,17199,16,Caminhada,2024-01-17,257.64,False,3
237,164,6255,15,Caminhada,2023-04-24,252.57,False,17
238,782,17261,56,Crossfit,2024-09-08,965.93,True,36
239,334,7173,41,Meditação,2024-08-27,25.44,False,35
240,547,10518,4,Caminhada,2024-08-23,188.71,False,34
241,798,10252,13,Bike Indoor,2024-03-18,339.45,True,12
242,348,12447,23,Crossfit,2023-06-12,982.66,True,24
243,273,15089,50,Caminhada,2023-02-07,296.28,False,6
244,963,9395,3,Caminhada,2023-04-02,247.27,False,13
245,720,12067,51,Caminhada,2024-09-22,163.53,False,38
246,750,19207,47,Meditação,2024-11-02,29.86,False,44
247,414,5287,23,Crossfit,2023-04-11,717.68,True,15
248,500,19669,46,Crossfit,2024-05-21,646.66,True,21
249,93,13461,59,Bike Indoor,2023-06-28,511.12,True,26
250,685,13402,8,Caminhada,2023-10-11,63.36,False,41
251,79,7433,2,Caminhada,2023-12-21,297.97,False,51
252,622,11284,54,Caminhada,2023-10-24,156.01,False,43
253,217,4826,8,Caminhada,2024-06-18,281.84,False,25
254,947,3664,17,Caminhada,2024-05-02,231.07,False,18
255,358,10528,35,Meditação,2023-10-06,21.6,False,40
256,618,497,18,Caminhada,2024-06-27,105.51,False,26
257,507,7641,23,Crossfit,2024-10-11,997.84,True,41
258,559,4643,3,Crossfit,2024-08-15,886.06,True,33
259,181,5056,8,Bike Indoor,2023-12-21,399.86,True,51
260,576,131,32,Caminhada,2023-11-15,66.86,False,46
261,246,5443,0,Corrida,2023-07-14,678.77,True,28
262,244,17241,51,Corrida,2023-04-03,521.21,True,14
263,506,13443,50,Caminhada,2024-03-08,105.33,False,10
264,422,8712,34,Crossfit,2024-07-11,867.47,True,28
265,320,8221,9,Crossfit,2023-01-27,839.63,True,4
266,87,15660,11,Bike Indoor,2024-02-19,492.57,True,8
267,217,6147,17,Meditação,2023-06-11,47.71,False,23
268,490,11588,13,Meditação,2023-04-11,37.19,False,15
269,519,4604,9,Bike Indoor,2024-11-29,657.37,True,48
270,278,9452,9,Meditação,2024-04-17,17.62,False,16
271,849,17942,17,Corrida,2023-06-07,518.66,True,23
272,722,16399,23,Crossfit,2024-05-06,552.26,True,19
273,169,3605,0,Caminhada,2023-01-09,126.14,False,2
274,330,13284,29,Bike Indoor,2023-07-31,688.71,True,31
275,650,1607,14,Bike Indoor,2024-03-14,685.14,True,11
276,441,11709,7,Caminhada,2024-11-09,240.1,False,45
277,391,2016,57,Meditação,2023-04-21,30.84,False,16
278,496,3574,34,Corrida,2023-07-22,712.31,True,29
279,381,13541,17,Bike Indoor,2023-03-06,521.39,True,10
280,306,7274,40,Caminhada,2023-06-10,50.88,False,23
281,742,9935,15,Caminhada,2024-02-18,175.39,False,7
282,987,15748,20,Bike Indoor,2024-10-06,539.57,True,40
283,820,6406,14,Bike Indoor,2024-11-20,406.3,True,47
284,673,11826,4,Meditação,2023-09-23,18.13,False,38
285,513,17472,44,Bike Indoor,2024-07-25,409.52,True,30
286,748,1361,53,Caminhada,2023-07-24,205.91,False,30
287,949,4473,51,Caminhada,2024-10-28,86.52,False,44
288,188,7319,6,Bike Indoor,2024-08-06,588.13,True,32
289,930,8667,47,Caminhada,2023-06-05,155.67,False,23
290,516,9481,6,Corrida,2023-06-22,541.34,True,25
291,913,8520,26,Caminhada,2023-11-04,251.81,False,44
292,644,17570,24,Bike Indoor,2024-03-25,502.43,True,13
293,427,19798,21,Meditação,2023-03-03,25.14,False,9
294,502,3536,47,Meditação,2024-01-08,45.13,False,2
295,730,1773,12,Crossfit,2024-04-04,684.13,True,14
296,260,10255,16,Meditação,2024-04-19,44.36,False,16
297,513,2558,40,Crossfit,2024-01-16,752.1,True,3
298,71,5079,43,Bike Indoor,2024-07-25,383.2,True,30
299,478,14341,12,Bike Indoor,2023-03-27,545.13,True,13
300,178,19675,25,Crossfit,2023-05-23,642.66,True,21
301,457,9981,8,Bike Indoor,2023-01-07,358.86,True,1
302,189,3524,4,Bike Indoor,2023-10-22,334.61,True,42
303,291,19888,38,Crossfit,2024-11-21,620.85,True,47
304,520,8998,32,Corrida,2024-06-02,694.62,True,22
305,765,13697,3,Meditação,2024-10-13,43.52,False,41
306,920,19050,27,Bike Indoor,2024-06-09,644.69,True,23
307,979,13606,25,Caminhada,2023-02-03,117.54,False,5
308,292,13429,3,Meditação,2023-11-25,36.44,False,47
309,946,16039,15,Meditação,2024-08-31,19.21,False,35
310,756,7140,36,Crossfit,2024-09-29,811.38,True,39
311,635,8785,21,Bike Indoor,2023-02-03,654.88,True,5
312,811,14901,35,Crossfit,2024-02-10,520.45,True,6
313,283,3280,37,Caminhada,2023-01-18,296.31,False,3
314,544,2212,57,Meditação,2024-03-05,43.08,False,10
315,846,15213,54,Corrida,2024-03-03,704.66,True,9
316,377,8078,34,Caminhada,2023-10-20,222.84,False,42
317,658,15936,24,Caminhada,2024-08-02,242.57,False,31
318,156,16997,7,Meditação,2023-03-21,49.78,False,12
319,508,14274,16,Crossfit,2023-03-27,885.1,True,13
320,413,868,17,Meditação,2024-07-25,24.06,False,30
321,528,17195,49,Meditação,2023-02-17,34.56,False,7
322,355,16042,57,Bike Indoor,2024-11-21,434.77,True,47
323,559,15407,56,Caminhada,2023-03-25,292.52,False,12
324,763,16254,11,Crossfit,2024-08-29,950.07,True,35
325,187,1744,56,Caminhada,2023-11-04,191.91,False,44
326,31,2256,56,Meditação,2023-09-09,41.25,False,36
327,260,11859,32,Bike Indoor,2024-04-25,663.87,True,17
328,421,5423,22,Crossfit,2023-06-29,621.8,True,26
329,529,5089,11,Crossfit,2024-08-18,789.74,True,33
330,551,6608,10,Crossfit,2023-11-06,740.86,True,45
331,304,9717,12,Meditação,2024-03-01,40.86,False,9
332,942,17853,34,Caminhada,2024-04-30,144.77,False,18
333,986,19059,26,Caminhada,2024-10-23,227.24,False,43
334,944,17897,24,Corrida,2023-02-08,561.2,True,6
335,39,4876,39,Corrida,2023-10-06,444.43,True,40
336,489,17835,2,Corrida,2024-09-16,442.85,True,38
337,644,3007,48,Caminhada,2024-01-11,79.76,False,2
338,542,14325,24,Bike Indoor,2024-09-30,313.01,True,40
339,670,3124,44,Bike Indoor,2023-02-10,513.19,True,6
340,278,1753,9,Crossfit,2024-10-31,835.95,True,44
341,203,17996,16,Bike Indoor,2023-02-16,350.69,True,7
342,66,3275,2,Crossfit,2024-04-28,805.93,True,17
343,108,8747,44,Meditação,2023-07-04,33.91,False,27
344,268,12443,21,Caminhada,2023-03-13,86.77,False,11
345,222,18433,37,Caminhada,2024-07-22,151.02,False,30
346,804,824,13,Caminhada,2024-07-27,238.78,False,30
347,530,13880,26,Meditação,2023-12-08,10.67,False,49
348,90,11041,41,Caminhada,2024-07-22,86.74,False,30
349,693,19414,19,Meditação,2023-08-31,49.83,False,35
350,255,1081,47,Bike Indoor,2023-11-24,593.42,True,47
351,455,11517,17,Corrida,2024-09-27,585.65,True,39
352,253,16876,12,Crossfit,2023-06-02,814.9,True,22
353,257,4764,41,Caminhada,2023-09-12,261.56,False,37
354,383,8266,5,Caminhada,2024-02-28,260.58,False,9
355,442,11183,9,Caminhada,2023-08-20,131.18,False,33
356,858,19744,36,Corrida,2024-06-12,596.52,True,24
357,599,16712,28,Bike Indoor,2024-08-14,555.22,True,33
358,90,12877,5,Caminhada,2024-05-10,67.97,False,19
359,749,9982,38,Crossfit,2023-06-25,972.9,True,25
360,390,8968,10,Meditação,2024-07-04,27.31,False,27
361,582,14639,47,Corrida,2023-05-23,548.34,True,21
362,44,4674,24,Caminhada,2023-01-17,276.78,False,3
363,712,4316,43,Meditação,2023-09-06,14.73,False,36
364,664,15314,43,Bike Indoor,2023-02-04,315.7,True,5
365,598,9695,29,Corrida,2023-05-26,674.0,True,21
366,19,15814,54,Corrida,2023-06-14,554.0,True,24
367,101,19709,19,Bike Indoor,2023-04-21,605.79,True,16
368,914,8379,57,Caminhada,2024-10-08,67.14,False,41
369,607,1214,36,Meditação,2023-03-15,25.35,False,11
370,766,11638,15,Corrida,2024-10-29,494.13,True,44
371,357,10713,30,Bike Indoor,2023-12-20,595.84,True,51
372,542,15977,28,Crossfit,2023-10-01,613.59,True,39
373,761,12071,5,Meditação,2023-10-06,28.32,False,40
374,938,3136,28,Bike Indoor,2024-10-21,627.55,True,43
375,33,6618,31,Meditação,2023-01-31,46.62,False,5
376,970,5265,8,Crossfit,2024-06-09,861.3,True,23
377,229,7965,36,Corrida,2024-06-18,571.69,True,25
378,524,9597,52,Bike Indoor,2024-05-24,528.79,True,21
379,630,8708,22,Meditação,2024-05-28,37.59,False,22
380,862,6569,15,Meditação,2023-06-27,45.0,False,26
381,155,17875,17,Caminhada,2023-11-25,272.14,False,47
382,423,5213,18,Corrida,2024-07-24,772.39,True,30
383,905,11881,43,Meditação,2024-11-18,42.43,False,47
384,246,4228,1,Crossfit,2023-06-21,573.4,True,25
385,405,4409,57,Crossfit,2024-01-31,873.82,True,5
386,844,590,9,Crossfit,2024-08-17,907.3,True,33
387,759,19440,11,Corrida,2023-02-04,751.15,True,5
388,541,18590,45,Bike Indoor,2023-10-24,669.93,True,43
389,161,2708,17,Corrida,2024-04-13,603.66,True,15
390,747,5981,18,Caminhada,2024-05-09,213.77,False,19
391,702,12221,37,Bike Indoor,2024-09-13,303.82,True,37
392,117,17131,36,Crossfit,2023-08-23,786.39,True,34
393,271,13785,26,Caminhada,2023-02-08,168.3,False,6
394,770,6553,47,Crossfit,2023-08-07,981.15,True,32
395,692,17881,13,Crossfit,2023-08-05,950.85,True,31
396,487,1379,44,Crossfit,2024-11-05,898.8,True,45
397,885,7360,52,Meditação,2024-09-19,12.28,False,38
398,172,3770,33,Bike Indoor,2024-11-03,460.81,True,44
399,950,19726,1,Meditação,2024-08-23,37.84,False,34
400,274,14449,43,Crossfit,2024-02-24,514.83,True,8
401,259,9088,32,Meditação,2024-10-14,19.43,False,42
402,135,1546,18,Bike Indoor,2023-06-23,655.0,True,25
403,683,19510,59,Meditação,2023-04-23,15.19,False,16
404,722,6208,59,Caminhada,2023-06-23,62.84,False,25
405,748,16350,26,Caminhada,2023-03-15,195.15,False,11
406,422,8875,47,Caminhada,2024-09-28,286.62,False,39
407,421,1295,29,Bike Indoor,2024-06-19,633.85,True,25
408,186,15861,6,Crossfit,2023-02-01,987.39,True,5
409,929,13973,26,Caminhada,2023-09-11,238.38,False,37
410,364,17769,20,Caminhada,2024-05-11,159.34,False,19
411,955,14481,6,Meditação,2023-04-23,47.86,False,16
412,607,17326,47,Crossfit,2023-07-14,713.32,True,28
413,378,3280,24,Caminhada,2024-06-11,137.52,False,24
414,523,13597,37,Caminhada,2024-03-16,162.05,False,11
415,580,17417,17,Caminhada,2024-05-03,253.49,False,18
416,891,2786,32,Meditação,2024-05-11,46.71,False,19
417,722,2233,32,Caminhada,2024-09-11,139.42,False,37
418,196,1620,31,Meditação,2023-01-24,28.49,False,4
419,881,3535,57,Crossfit,2023-10-17,949.16,True,42
420,98,19589,24,Bike Indoor,2023-11-04,318.82,True,44
421,605,2882,13,Caminhada,2023-10-31,245.97,False,44
422,984,16554,37,Bike Indoor,2024-09-22,481.69,True,38
423,22,9745,37,Meditação,2024-11-23,25.06,False,47
424,450,3897,3,Corrida,2023-02-07,578.77,True,6
425,172,15861,43,Caminhada,2024-01-21,154.67,False,3
426,383,2837,17,Crossfit,2024-08-03,878.31,True,31
427,134,8599,9,Crossfit,2023-03-23,963.97,True,12
428,426,15911,34,Caminhada,2023-04-28,172.86,False,17
429,25,6721,34,Corrida,2023-02-19,733.09,True,7
430,503,17063,39,Meditação,2024-10-30,39.28,False,44
431,185,5487,53,Bike Indoor,2023-03-15,432.27,True,11
432,85,15121,22,Caminhada,2024-11-25,196.83,False,48
433,567,236,24,Caminhada,2023-04-16,216.7,False,15
434,763,11629,0,Bike Indoor,2024-08-21,309.4,True,34
435,144,11549,17,Meditação,2023-11-22,25.84,False,47
436,863,2423,14,Meditação,2024-11-14,49.71,False,46
437,910,12906,24,Meditação,2023-12-22,35.49,False,51
438,679,14988,31,Bike Indoor,2024-04-12,433.7,True,15
439,412,1032,52,Meditação,2024-10-17,20.0,False,42
440,224,6339,19,Caminhada,2023-10-11,102.37,False,41
441,220,2940,16,Bike Indoor,2023-07-04,460.66,True,27
442,179,12262,56,Meditação,2023-06-03,17.73,False,22
443,631,19516,10,Meditação,2023-04-28,15.41,False,17
444,433,11652,12,Caminhada,2023-09-24,141.02,False,38
445,265,4942,24,Caminhada,2024-01-20,201.75,False,3
446,954,6961,19,Caminhada,2023-09-12,86.6,False,37
447,429,7730,24,Corrida,2023-08-29,417.74,True,35
448,662,633,41,Meditação,2023-06-20,11.39,False,25
449,416,6822,44,Caminhada,2024-09-08,116.85,False,36
450,453,6487,48,Caminhada,2024-07-01,97.53,False,27
451,727,15131,30,Caminhada,2024-07-31,184.81,False,31
452,197,19830,52,Bike Indoor,2023-07-04,482.29,True,27
453,554,5738,0,Caminhada,2024-10-28,131.19,False,44
454,53,3098,51,Meditação,2024-02-14,43.34,False,7
455,480,8097,15,Meditação,2024-10-14,30.2,False,42
456,443,13136,47,Crossfit,2024-08-10,545.76,True,32
457,330,5476,27,Meditação,2023-05-26,21.83,False,21
458,251,8253,20,Meditação,2023-02-07,48.93,False,6
459,807,18201,29,Crossfit,2024-05-04,988.49,True,18
460,890,4887,58,Meditação,2023-09-19,20.19,False,38
461,783,18982,2,Crossfit,2023-05-06,583.62,True,18
462,967,11643,33,Bike Indoor,2024-08-26,498.28,True,35
463,925,9492,5,Meditação,2023-12-11,29.26,False,50
